date,timestamp,id,pkt,rssi,ax,ay,az,gx,gy,gz,gx_diff,gy_diff,gz_diff
25/06/2024 11:42,124 # timestamp: 85491323305884,81204,19904, RSSI: 55,-183,737,702,55,-100,-12,,,
25/06/2024 11:42,232 # timestamp: 85495617224605,81204,19905, RSSI: 19,-184,742,700,19,-99,-28,,,
25/06/2024 11:42,339 # timestamp: 85499912060848,81204,19906, RSSI: -12,-186,740,704,-12,-80,-30,,,
25/06/2024 11:42,446 # timestamp: 85504207683508,81204,19907, RSSI: -6,-184,739,693,-6,-76,-20,,,
25/06/2024 11:42,553 # timestamp: 85508502912938,81204,19908, RSSI: 24,-184,734,705,24,-86,-16,,,
25/06/2024 11:42,658 # timestamp: 85512797749150,81204,19909, RSSI: 46,-183,737,690,46,-98,-18,,,
25/06/2024 11:42,766 # timestamp: 85517092847526,81204,19910, RSSI: 31,-186,737,701,31,-90,-16,,,
25/06/2024 11:42,873 # timestamp: 85521387487149,81204,19911, RSSI: 26,-183,736,704,26,-83,-21,,,
25/06/2024 11:42,980 # timestamp: 85525681995704,81204,19912, RSSI: -21,-185,734,712,-21,-72,-28,,,
25/06/2024 11:42,087 # timestamp: 85529977290670,81204,19913, RSSI: 12,-185,734,702,12,-82,-23,,,
25/06/2024 11:42,193 # timestamp: 85534272126878,81204,19914, RSSI: 29,-183,739,694,29,-98,-25,,,
25/06/2024 11:42,300 # timestamp: 85538568011677,81204,19915, RSSI: 71,-185,739,701,71,-99,-11,,,
25/06/2024 11:42,408 # timestamp: 85542862061487,81204,19916, RSSI: 7,-186,742,706,7,-81,-25,,,
25/06/2024 11:42,512 # timestamp: 85547156766650,81204,19917, RSSI: -28,-184,737,693,-28,-70,-29,,,
25/06/2024 11:42,620 # timestamp: 85551452258213,81204,19918, RSSI: 81,-181,736,677,81,-91,-21,,,
25/06/2024 11:42,727 # timestamp: 85551453765539,81204,19919, RSSI: 98,-183,735,686,98,-93,2,,,
25/06/2024 11:42,833 # timestamp: 85560043175839,81204,19920, RSSI: 74,-185,734,695,74,-97,-6,,,
